Word,Count
#CardView_contentPadding,6
#AppCompatTheme_spinnerStyle,6
#FontFamily_fontProviderCerts,6
#DesignTheme_bottomSheetDialogTheme,6
#AppCompatTheme_textAppearanceListItem,6
#AppCompatTheme_ratingBarStyle,6
#Toolbar_titleMarginTop,6
#ConstraintSet_layout_constraintStart_toEndOf,6
summaries,6
<tr><td>scrollable</td><td>0</td><td></td></tr>,6
#MenuItem_android_checkable,6
#NavigationView_itemIconTint,6
#ConstraintSet_android_translationX,6
#Toolbar_contentInsetLeft,6
#Spinner_android_popupBackground,6
#AppCompatTheme_dividerHorizontal,6
#ConstraintSet_layout_constraintGuide_percent,6
#AppCompatTextView_autoSizeStepGranularity,6
<tr><td>listMode</td><td>1</td><td></td></tr>,6
#AppBarLayoutStates},6
#TextAppearance_android_shadowDy,6
#AppCompatTheme_editTextBackground,6
#AppCompatTheme_popupWindowStyle,6
#SwitchCompat_trackTint,6
<tr><td>mode_default</td><td>0</td><td></td></tr>,6
#ConstraintSet_layout_constraintLeft_toLeftOf,6
#BottomNavigationBar_bnbBackgroundStyle,6
#AppCompatTheme_panelMenuListWidth,6
#RecyclerView_fastScrollVerticalThumbDrawable,6
android:windowAnimationStyle}</code></td><td></td></tr>,6
#Toolbar_collapseIcon,6
<tr><td>secondary</td><td>30000</td><td></td></tr>,6
<tr><td>auto</td><td>10</td><td></td></tr>,6
#AppCompatTheme_windowFixedHeightMajor,6
#AppCompatTheme_switchStyle,6
#RecyclerView_spanCount,6
#DrawerArrowToggle_spinBars,6
#AppCompatTheme_tooltipFrameBackground,6
#SearchView_searchIcon,6
#AppCompatTheme_alertDialogButtonGroupStyle,6
#AppCompatTheme_windowActionBarOverlay,6
#CollapsingToolbarLayout_scrimAnimationDuration,6
<tr><td>blocking</td><td>0</td><td></td></tr>,6
#NavigationView_android_background,6
android:gravity,6
#AppCompatTheme_editTextColor,6
<tr><td>collapseActionView</td><td>8</td><td></td></tr>,6
android.R.attr#textAppearance},6
android.R.attr#enabled},6
#LinearLayoutCompat_android_baselineAlignedChildIndex,6
#ActionMode_subtitleTextStyle,6
#RecyclerView_stackFromEnd,6
#MenuItem_actionLayout,6
#ConstraintLayout_Layout_layout_editor_absoluteY,6
#AlertDialog_buttonPanelSideLayout,6
#AppCompatTheme_ratingBarStyleSmall,6
#ActivityChooserView_initialActivityCount,6
#FloatingActionButton_backgroundTintMode,6
#ConstraintLayout_Layout_layout_constraintHorizontal_weight,6
#ActionBar_contentInsetEnd,6
#MenuItem_showAsAction,6
#AppCompatTheme_actionBarPopupTheme,6
#FontFamilyFont_fontWeight,6
android:thumb}</code></td><td></td></tr>,6
#AppCompatTheme_windowFixedWidthMajor,6
#SearchView_defaultQueryHint,6
#MenuItem_android_numericShortcut,6
#BottomNavigationView_itemTextColor,6
#ViewStubCompat_android_inflatedId,6
#ActionMenuItemView_android_minWidth,6
#AppCompatTheme_actionBarTabTextStyle,6
#CoordinatorLayout_statusBarBackground,6
#AppCompatTextHelper_android_drawableLeft,6
android.R.attr#layout_height},6
#AppCompatTextView_android_textAppearance,6
#PopupWindowBackgroundState_state_above_anchor,6
<tr><td>mode_shifting</td><td>2</td><td></td></tr>,6
#ConstraintLayout_Layout_layout_constraintLeft_toLeftOf,6
#AppCompatTheme_searchViewStyle,6
#SearchView_iconifiedByDefault,6
#FloatingActionButton_rippleColor,6
#FontFamily_fontProviderFetchStrategy,6
#FloatingActionButton_backgroundTint,6
#CoordinatorLayout_Layout_layout_behavior,6
#TabLayout_tabPaddingStart,6
#TextAppearance_android_textColorLink,6
#AppCompatTheme_radioButtonStyle,6
